Issuer Name,BSE Code,NSE Code,Sector Name,Industry Name,BSE/NSE Flag
Balkrishna Industries Ltd.,502355,,Consumer Discretionary,Automobile and Auto Components,N
Orient Paper & Industries Ltd.,502420,,Commodities,Forest Materials,N
Citadel Realty And Developers Limited,502445,,Consumer Discretionary,Realty,N
Rollatainters Ltd.,502448,,Industrials,Capital Goods,N
Seshasayee Paper & Boards Ltd.,502450,,Commodities,Forest Materials,N
NATH INDUSTRIES LIMITED,502587,,Commodities,Forest Materials,N
VAPI ENTERPRISE LIMITED,502589,,Commodities,Forest Materials,N
DCM Ltd.,502820,,Information Technology,Information Technology,N
Gaekwar Mills Ltd.,502850,,Consumer Discretionary,Textiles,N
Forbes & Company Ltd,502865,,Consumer Discretionary,Consumer Durables,N
H.P. Cotton Textile Mills Ltd.,502873,,Consumer Discretionary,Textiles,N
United Interactive Limited,502893,,Information Technology,Information Technology,N
JAMSHRI REALTY LIMITED,502901,,Consumer Discretionary,Realty,N
Katare Spinning Mills Ltd.,502933,,Consumer Discretionary,Textiles,N
Kesoram Industries Ltd,502937,,Commodities,Construction Materials,N
Lakshmi Mills Company ltd,502958,,Consumer Discretionary,Textiles,N
Vardhman Textiles Limted,502986,,Consumer Discretionary,Textiles,N
Peninsula Land Limited,503031,PENINLAND,Consumer Discretionary,Realty,Y
Pasupati Spg. & Wvg. Mills Ltd.,503092,,Consumer Discretionary,Textiles,N
The Phoenix Mills Ltd.,503100,,Consumer Discretionary,Realty,N
Marathon Nextgen Realty Ltd,503101,,Consumer Discretionary,Realty,N
Raja Bahadur International Ltd,503127,,Consumer Discretionary,Realty,N
Reliance Chemotex Industries Ltd.,503162,,Consumer Discretionary,Textiles,N
Ruby Mills Ltd.,503169,,Consumer Discretionary,Textiles,N
Simplex Realty Limited,503229,,Consumer Discretionary,Realty,N
Swan Energy Ltd.,503310,,Commodities,Chemicals,N
Victoria Mills Ltd.,503349,,Consumer Discretionary,Realty,N
S.V. Trading & Agencies Ltd.,503622,,Financial Services,Financial Services,N
Svaraj Trading & Agencies Ltd.,503624,,Financial Services,Financial Services,N
Kshitij Investments Ltd,503626,,Financial Services,Financial Services,N
Shree Salasar Investment Ltd.,503635,,Financial Services,Financial Services,N
Indsoya Limited,503639,,Services,Services,N
Zodiac Ventures Limited,503641,,Services,Services,N
Veer Energy & Infrastructure Limited,503657,,Utilities,Power,N
SW Investments Limited,503659,,Services,Services,N
Tilak Ventures Limited,503663,,Financial Services,Financial Services,N
Unijolly Investments Co. Ltd.,503671,,Financial Services,Financial Services,N
Wagend Infra Venture Limited,503675,,Services,Services,N
Elcid Investments Ltd.,503681,,Financial Services,Financial Services,N
Mediaone Global Entertainment Limited,503685,,Consumer Discretionary,"Media, Entertainment & Publication",N
Healthy Investments Ltd.,503689,,Services,Services,N
Shreenath Investments Co. Ltd.,503696,,Services,Services,N
Banswara Syntex Ltd.,503722,,Consumer Discretionary,Textiles,N
Modella Woollens Ltd.,503772,,Services,Services,N
Modipon Ltd.,503776,,Consumer Discretionary,Realty,N
